id,title,score,game_type,pulisher,download,isAndroid
197397,少女战地,8.1,动作,厂商: 少女战争工作室,14161,TRUE
199740,真实卡车模拟,4.2,模拟,厂商: 搜崇,9369,TRUE
72332,阳春艺曲,7.3,音乐,厂商: 维克斯游戏,30731,FALSE
58802,IRIS,9.8,文字,厂商: 箱社,805272,TRUE
195701,叫我大掌柜,4.1,模拟,厂商: 鲁班工作室,19866,TRUE
189028,天地劫：幽城再临,6,角色扮演,厂商: 紫龙游戏,590329,FALSE
60320,点线交织,8.7,益智,厂商: 砰砰工作室,533211,FALSE
15463,艾彼(Abi),8.5,益智,厂商: 莉莉丝游戏,2146293,TRUE
213778,大学模拟器,5.7,休闲,厂商: 花卷科技,667,TRUE
31597,碧蓝航线,8.6,策略,厂商: 哔哩哔哩游戏,2675096,FALSE
212758,宠物对决世代（测试服）,6.9,冒险,厂商: 宜昌宾越网络科技有限公司,5906,TRUE
211803,遇见你的猫,7.4,休闲,厂商: 大坏鼠工作室,170486,TRUE
136706,开局一只鲲,7.3,休闲,厂商: 娜迦娱乐工作室,620826,TRUE
52276,纪念碑谷2,9,冒险,厂商: 极光计划,3061911,FALSE
151828,旅行串串,9.5,休闲,厂商: Kunpo,1135370,FALSE
10056,崩坏3,6.1,动作,厂商: miHoYo,14598687,TRUE
204735,鸣沙客栈,8.3,模拟,厂商: 二十肆工作室,30247,FALSE
192689,鸿图之下,7,策略,厂商: 腾讯,287008,FALSE
201538,钢铁命令：将军的荣耀3,8.3,策略,厂商: 苏州乐志软件,119802,FALSE
178358,妄想山海,6.1,角色扮演,厂商: 腾讯,770630,TRUE
201403,小小法师,8.5,休闲,厂商: Ohayoo,147299,FALSE
70056,和平精英,6.9,动作,厂商: 腾讯,32640408,FALSE
166152,旧日传说,6.6,角色扮演,厂商: 完美世界,154146,FALSE
39309,召唤与合成,9.7,益智,厂商: 召合网络,3185029,FALSE
10497,部落冲突 (Clash of Clans),9.1,策略,厂商: Supercell,3022789,FALSE
34751,元气骑士,9.5,动作,厂商: 凉屋游戏,19459726,FALSE
152964,匠木,9.2,益智,厂商: 雷霆游戏,1098429,TRUE
141520,下一关在哪,9.5,益智,厂商: 狐獴游戏,60947,TRUE
192794,放置塔防,7.1,休闲,厂商: 云杉工作室,794,TRUE
213328,太古修真,8.4,角色扮演,厂商: 太古,455,TRUE
193994,球球英雄,5.8,策略,厂商: 霍尔果斯游众网络,432009,FALSE
88164,三国战纪2,6.8,街机,厂商: 上海魔克信息科技有限公司,32503,TRUE
179385,真三国无双霸,8.6,动作,厂商: D.W.Studio,612083,FALSE
37681,超数据世界,9.2,角色扮演,厂商: ST,699961,FALSE
190461,喵喵岛（测试服）,6.8,休闲,厂商: ZGame,7783,FALSE
208577,纸上谈兵模拟器,8.1,策略,厂商: 犟游社,8017,TRUE
138364,小森生活,5.2,模拟,厂商: 腾讯,368846,TRUE
205968,小士兵战争,7.6,卡牌,厂商: 小士兵宇宙,15178,TRUE
134346,古代战争,9.1,角色扮演,厂商: 猫步游戏,2171611,FALSE
138364,小森生活,5.2,模拟,厂商: 腾讯,368851,FALSE
191269,开局一把剑,8.9,策略,厂商: 做个好游戏工作室,224157,FALSE
37121,活下去,9,冒险,厂商: 黑骑士工作室,2884317,FALSE
179371,江南百景图,7.1,模拟,厂商: 椰岛游戏,11634326,TRUE
151009,消零世界：VGAME,5.6,动作,厂商: VANEPLUS STUDIO,770576,FALSE
32403,空中大师 - 像素射击,9.5,街机,厂商: Croal.PE,166619,FALSE
193324,楼下的早餐店,8.8,模拟,厂商: YiYo StudFalse,251505,FALSE
149161,坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险,5.4,角色扮演,厂商: 哔哩哔哩游戏,515286,FALSE
203666,纸嫁衣,9.3,益智,厂商: HeartBeat Plus,80579,TRUE
213639,某不稳定的气功波,8.3,文字,厂商: 甜小鱼工作室,10984,TRUE
186039,无极仙途,8.7,角色扮演,厂商: 风之力游戏,860667,TRUE
35691,模拟城市：我是市长,5.7,休闲,厂商: 北京北纬通信科技股份有限公司,1918546,TRUE
58881,香肠派对,7.6,动作,厂商: 真有趣游戏,102779025,TRUE
13471,血族,8.1,角色扮演,厂商: 盛趣游戏,506165,TRUE
139302,逆转回合,6.5,策略,厂商: 飞鱼科技,30050,TRUE
73010,所谓侠客,9.6,角色扮演,厂商: 怕一笑,532384,FALSE
80109,你了解自己吗,8.4,教育,厂商: 晓风游戏,1370148,TRUE
198967,不一样传说,7.3,冒险,厂商: 芥菜子游戏,129986,TRUE
213880,蚊子骚扰模拟器,3.9,模拟,厂商: 深圳滕逸,782,TRUE
139301,使命召唤手游,7.2,动作,厂商: 腾讯,2699359,TRUE
188737,乡村老师,9.7,模拟,厂商: Forever D Studio,95941,FALSE
170102,复苏的魔女,8.6,角色扮演,厂商: 雷霆游戏,212395,FALSE
166951,幻书启世录,5.3,角色扮演,厂商: 网易游戏,551923,FALSE
171015,重生细胞,8.4,动作,厂商: 哔哩哔哩游戏,2450423,TRUE
67396,失落城堡,8.7,动作,厂商: 雷霆游戏,7387261,FALSE
187303,逐光：启航,9.4,冒险,厂商: Ohayoo,546732,FALSE
139546,三国志·战略版,6.4,策略,厂商: 广州简悦科技,459236,FALSE
70054,通感纪元,7,策略,厂商: 60制作组,158399,FALSE
10505,少女前线,8.5,策略,厂商: 上海散爆网络科技有限公司,2738891,TRUE
168332,原神,5.6,角色扮演,厂商: miHoYo,12566928,FALSE
60895,住宅梦物语,8.4,模拟,厂商: 识君,435957,FALSE
141656,单词城堡,9.4,教育,厂商: yougan233团队,473054,FALSE
214500,超级精灵手表（测试服）,6.5,休闲,厂商: 墨冰科技,12389,TRUE
23452,比特小队,9.3,冒险,厂商: Kunpo,4075353,TRUE
185830,此生无白,8.2,角色扮演,厂商: 苏州沁游网络科技有限公司,24686,FALSE
73010,所谓侠客,9.6,角色扮演,厂商: 怕一笑,532383,TRUE
186468,口袋植物,9.4,模拟,厂商: Shikudo,82188,FALSE
204735,鸣沙客栈,8.3,模拟,厂商: 二十肆工作室,30247,TRUE
212199,太公传承,8,休闲,厂商: 猫咕网络,11199,TRUE
60940,赛马牧场物语,9,模拟,厂商: 识君,91364,FALSE
14555,符石守护者,7.5,角色扮演,厂商: 杭州刺暮软件科技有限公司,14643,FALSE
213801,动物融合大乱斗,3.8,策略,厂商: 北京古鲁营销,421,TRUE
